ocr_test_index,query_id,reference_metadata_text,hi_en_ocr_text,en_only_ocr_text,gold_transcription,include_in_final_ocr_test,annotation_notes
33,hmx-0434,"Tesla Model Y in India – Price Breakdown (Hinglish Style): US Price: ₹30 lakh ($37,490) Ex-Showroom Price: ₹59.89 lakh➡️ Road Tax & Insurance: ₹3.5 lakh ✅ On-Road Price: ~₹63.4 lakh🧾 Govt Kama Gayi: ₹31 lakh 🚗 Tesla Ko Mila: ₹30 lakh","Jal nind Feelin Proud Merie Armin Tesla Model Yilndia me US Prices ऋ३० lakh ($37,490] Import Duty (७o%J: २१९ ३९ lakh 65T [28%]: र7.75 lakh GST Cess: रZ ७S lakh Ex Showrooms २५९ ८९ lakh Road Tax & Insur : २उ.5 lakh On Road Price: २६७ lakh Govt Kama Gayi: ३३१ lakh","Jai hind Feeling Ptoud Mere ArtyMn Tesla Model YInda me US Price: 730 Iakh (537,490] Import Duty (70%): 71939 Iakh GST (28%]: <7.75 Iakh GST Cess: 72.75 Iakh Ex-Showroom: ?59.89 Iakh Road Tax & Insur : 73.5 Iakh On-Road Price: 361 Iakh Govt Kama Gayi: {31 lakh","Tesla Model Y India me - US Price: ₹30 lakh ($37,490) - Import Duty (70%): ₹19.39 lakh - GST (28%): ₹7.75 lakh - GST Cess: ₹2.75 lakh - Ex-Showroom: ₹59.89 lakh - Road Tax & Insur.: ₹3.5 lakh - On-Road Price: ₹61 lakh Govt Kama Gayi: ₹31 lakh",yes,
34,hmx-0565,Jab Boris Johnson aaye the… Sau saal pehle UK mein aisi scene nahi thi. Humare neta log kamal ke hain!!!,"@०% = ट॰ Guarat Mode Dr Arindam Cnzudhun lab Borfklmrean aays the Sau t७a luo|a णlr ""2[3""11*12+71111173 ख[a0त @ 77*7003 ""-n SLचIDIO Zi Cगरnl 2","8004 3 chec Gujarat Modeel Dr: Arindam Chzudhun {@0 BorgJoluea^jar8 Ue Suu {uJpunt Uk FaluaRamaa MteGeEente[[Fn ""enn Wae Snts JISLEADINg] 7Tithils [",Gujarat Model Jab Boris Johnson aaye the... Sau saal pehle UK mein aisi scene nahi mili thi. Humare neta log kamal ke hain!!!!,yes,
35,hmx-0112,Anant-Radhika ki shaadi se pehle Ambani family ne underprivileged couples ke liye mass wedding plan ki.,ब्ै Anant Radhika ki shaadi se pehle Ambani family ne underprivileged couples ke liye,8 Anant-Radhika ki shaadi se pehle Ambani family ne underprivileged couples ke liye,Anant-Radhika ki shaadi se pehle Ambani family ne underprivileged couples ke liye,yes,Source image/caption is visibly truncated; gold transcription follows only the visible claim-bearing text.
36,hmx-0425,Kya woh log dating kar rahe hain?,Ka woh log dating kar rahe hain?,Kya woh log dating kar rahe hain?,Kya woh log dating kar rahe hain?,yes,
37,hmx-0692,"19 Saal Kis Liye?"": Mumbai Ka Baap Victim Par Court Ka Faisla Sunne Ke Baad Gussa Kiya","l९ Saal Ms Liye?"": Mumbai Ka Baap Victim Par Court Ka Faisla Sunne Ke Baad Gussa","19 Saal Kis Liye?"": Mumbai Ka BBaap Victim Par Court Ka FFaisla Sunne Ke Baad Gussa","19 Saal Kis Liye?"": Mumbai Ka Baap Victim Par Court Ka Faisla Sunne Ke Baad Gussa",yes,
38,hmx-0137,Congress ke spokesperson ne kaha: 'Rohit Sharma motapa leke khel raha hai aur sabse bheedha captain hai' — is par TMC MP ne bhi unhe support kiya.,ब्रै १ INDIA Congress ke डpokesperson ne kahaः Rohit Sharma motapa leke khel raha hai aur sabse bheedha captain hai' is par TMC MP ne bhi unhe support kiya. alva,8 1 9 INDLA Congress ke spokesperson ne kaha: 'Rohit Sharma motapa leke khel raha hai aur sabse bheedha captain hai' 5 is par TMC MP ne bhi unhe support kiya. anta,Congress ke spokesperson ne kaha: 'Rohit Sharma motapa leke khel raha hai aur sabse bheedha captain hai' — is par TMC MP ne bhi unhe support kiya.,yes,
39,hmx-0618,Yogi sarkar ke pravakta aur Cabinet Mantri Shrikant Sharma ko janta ne khadeda.,8०० 8 ACT SHEcY EAKIa Paiel February at २० २० 0 4 Yogi sarkar ke pravakta aur Cabinet Mantri Shrikant Sharma ko janta ne khadeda.,Boom B MACT ChECS ItakB Patel February at 20.20.0 4 Yogi sarkar ke pravakta aur Cabinet Mantri Shrikant Sharma ko janta ne khadeda:,Yogi sarkar ke pravakta aur Cabinet Mantri Shrikant Sharma ko janta ne khadeda.,yes,
40,hmx-0340,"""GOVT ne MASOOM SHARMA ko thanks kaha uneducated Indians ko count karne mein help karne ke liye, uski audience ko dekh kar.""","५v ""G0 ne ममड0्वम डHमा k० thanks kaha uneducated Indians ko count karne mein help karne ke liye uski audience ko dekh kar 0] SAARE KHATOLE SCHOOL KE BAHAR","Spl ""GOVT ne MASOOM SHARMA ko thanks kaha uneducated Indians ko count karne mein help karne ke liye, uski audience ko dekh kar; I SAARE KHATOLE SCHOOL KE BAHAR","""GOVT ne MASOOM SHARMA ko thanks kaha uneducated Indians ko count karne mein help karne ke liye, uski audience ko dekh kar."" SAARE KHATOLE SCHOOL KE BAHAR",yes,
41,hmx-0225,Kya Virat Kohli ne sach mein ye sporting brand kharid liya? PUMA ka naam ab PVMA mein badla jaa raha hai poore India mein Log apne nearest Puma store ki photos online share kar rahe hain jaahan naam badla gaya hai.,DVIIIN कग्वग Kya Virat Konli ne sach mein ye sporting brand Kharia liya? PUMA ka naam ab PJMA mein badla jaa raha hai poore India mein Log apne nearest Puma store ki photos online share kar rahe hain jaahan naam badla gaya hai. alva,PVMA 335 Kya Virat Kohli ne sach mein ye sporting brand kharid liya? PUMA ka naam ab PVMA mein badla jaa raha hai poore India mein Log apne nearest Puma store ki photos online share kar rahe hain jaahan naam badla gaya hai. anta,Kya Virat Kohli ne sach mein ye sporting brand kharid liya? PUMA ka naam ab PVMA mein badla jaa raha hai poore India mein Log apne nearest Puma store ki photos online share kar rahe hain jaahan naam badla gaya hai.,yes,
42,hmx-0641,“Ye video dikhata hai Bharat ke Hindu ladkiyon ki halat West Bengal mein jahan Mamata Banerjee Chief Minister hain. Koi kanoon‑vyavastha nahi. Rohingya shamil hain. Kripya is video ko jitna ho sake zyada logo tak forward karein takki Home Minister Amit Shah ji tak pahunch sake.”,"30- 8 %cec* 5:0""3 _+ [31 9~017 0=097 video dikhata hal Aharat ke Hindu lacklyon kI halat Wlest main jahan Mamata Banerjze Chiar Ministzr hain Koi 0331-10 "" Kanaon vyavastha nahil Raningya shamil naln Krlaya vidED kolitna na saxa zyada lcgo tak forwara karEin takki फड Wlnite Ait Shu Jta pouurenane "" ""","700 B 0669 aantl} Me Isuno-hpi Penga Video dlkhata hal Bharat ke Hlndu Iadklyon kI halat West mein jahan Mamata Banerjee Chief Minister hain.Koi Ineeein 7 kanaon-vyavastha nahl Rahingya shamil haln: Kripya video ko jitna ho sake zyada lcgo tak forward karein takki FAKE"" Mnit Amt shelI4r puhunchut 7 1 {",Ye video dikhata hai Bharat ke Hindu ladkiyon ki halat West Bengal mein jahan Mamata Banerjee Chief Minister hain. Koi kanoon-vyavastha nahi. Rohingya shamil hain. Kripya is video ko jitna ho sake zyada logo tak forward karein takki Home Minister Amit Shah ji tak pahunch sake.,yes,
43,hmx-0104,"iQOO Prive Night mein India ke top creators, gamers, influencers ne kiya dhamaka. Neo 10R aa raha hai March 11 ko.","ब्रै III IIN १ 0 R२ NE ३n ०० iQo० 000i Neo १०R R०l 0 l १ 0 ० | ( POWWI( i Q ( iQ०० Prive Night mein India ke top creators gamers, influencers ne kiya dhamaka. Neo LOR aa raha hai March ZL ko. 7|| 7|","8 HU WIN 10 R NE 31 00 icoo oodi Neo 10R AOr 0 M 10 0 t ( PowW( 10 4 iQOO Privve Night mein India ke top creators, gamers, influencers ne kiya dhamaka: Neo 1OR aa raha hai March 11 ko. ahei","iQOO Privve Night mein India ke top creators, gamers, influencers ne kiya dhamaka. Neo 10R aa raha hai March 11 ko.",yes,
44,hmx-0602,"#PakistanvsAustralia match ke beech lage ""Bharat Mata ki Jai"" aur ""Vande Mataram"" ke naare, dekhiye","8०%^ Zcc Salaam @reesalaamiwet खटध B #PPakistanvsAustralia match ke beech lage "" Bharat Mata ki Jai"" aur ""ande Mataram ke naare, dekhiye #video #ICCT2OWorldCup #ICCTZOWC | HZeeSalaamTweet | FKE ZEESALAAM zeen Cws iodia Don Paltistar Lis usLialio Ilolch dcani"" zzhh lorle ndriol Mala ki Jai lallक anulz atorieln Ie doaliie ICC TzD Warld Oup Zuzt la aocsra Een fnal Paldstan aLr ALFralla IRakdstan V६ Allstralallc beech Phela aya Drmcin Aurtralla ne Patlstan ( ZLsralia VF FaciFanllto","Boom Zcc Salaam @reesalaamiveet Rcs B #PakistanvsAustralia match ke beech lage ""Bharat Mata ki Jai"" aur ""Vande Mataram ke naare, dekhiye #Video #ICCT2OWorldCup #ICCT2OWC | #ZeeSalaamTweet | FAKE ZEESALAAM zoonows,Kocla,cor Pakislan V5 Auslialia Malch dcniyr beech Iade ""Bharal Mald <iJai"" au: ""Vanue Paldramn"" *E rId 3ie ICC TZ0 Worid Cup 2021 ka cJcsra SOfinal Pakistan aur ALstralla (Pakistan Vs Australa)ke besch khela Qaya, jimein Australia nc Pakistan (Australlia Vs Facitani ko ,","#PakistanvsAustralia match ke beech lage ""Bharat Mata ki Jai"" aur ""Vande Mataram"" ke naare, dekhiye #Video #ICCT20WorldCup | #ICCT20WC | #ZeeSalaamTweet",yes,
45,hmx-0613,Isne jeevan mein na Google mein” “Na naukri ki” “Investment ki power”,600) businessmind hindi * Folloll : Or ginal hudiz CEc busiressmind rindi @businesmind hinci FALSE Follow krna |21 na bhule Isne jeewan mein na Google mein Ila naukn ki CaamitTl a rral Investment ki power Investment ki power,"Coom businessmind hindi + Follow' B Orginal Hudic 'CHEC businessmind hindi @businessmind_hinci FALSE] Follow krna V2, na bhule Isne jeevan mein na Google mein Na naukri ki Daatetnld #rdl Investment ki power Investment ki power",Isne jeevan mein na Google mein Na naukri ki Investment ki power,yes,
46,hmx-0466,Canada-based gangster Goldy Brar Bigg Boss OTT Season 3 mein aane waale hai.,Bl Onl Y orsal0]- Canada-based gangster Gठay Brar Bigg Boss OTT Season 3 mein aane waale hai.,BN ~Only For Salnn_ Canada-based gangster Goldy Brar Bigg Boss OTT Season 3 mein aane waale hai.,Canada-based gangster Goldy Brar Bigg Boss OTT Season 3 mein aane waale hai.,yes,
47,hmx-0548,"Rahul Gandhi ne Sawan ke mahine mein non-veg khaya Isiliye log kehte hain ""seasonal Hindu""Hanuman ji | #SawanMahina #MuttonTikka #TandooriBhakto #RameshShetty #Mohanlal #Masavaran #TejashwiYadav #TejRan","eo0, CHLC' 8 """"4+08104 * [_00 IL --lana-uann- 0- 2 Wट9l :133 Filnyc log lcatc nan EcDranal Kinou 799 lanurran fd| +Savenlzshina =Muttznnaz ""landocrlLnalto IanT Eant netty #Monanlal #MazaJaran - lejasnaadzv FIc Rant 90 MISUEADING 89 90* 99 + +","8o04 Gwec"" B Atytt Masa E ano Aat n Sawan # Maninc Mc Aa Me Fegin57] Eiliyc log kente ham {ca cnbi Hindu"" 2 Hanunanin -Sawankahing #Muttaalake #Tandaoribhakto Rameshsnctty * Monanlal #Masavaran # Ijashm Yadav #TcjRant J Misleading [ { o { 7 1","Rahul Gandhi ne Sawan ke mahine mein non-veg khaya Isiliye log kehte hain ""seasonal Hindu"" Hanuman ji | #SawanMahina #MuttonTikka #TandooriBhakto #RameshShetty #Mohanlal #Masavaran #TejashwiYadav #TejRan",yes,
48,hmx-0703,TRAIN bridge par chalti rahi jabki uski foundation ka ek hissa nadi mein gir gaya,NIV TRAIN bridge par chalti rahi jabki uski foundation ka ek hissa nadli mein gir gaya,NDTV TRAIN bridge par chalti rahi jabki uski foundation ka ek hissa nadi mein gir gaya,TRAIN bridge par chalti rahi jabki uski foundation ka ek hissa nadi mein gir gaya,yes,
49,hmx-0462,Taiwan formally requested purchase of India’s D4 anti-drone system,"ulmohityadavv mo. ago They interested in Anti-China system? are News ""Taiwan ne officially India ke D४ anti-drone system kharidne ki request ki hai. ""","ulmohityadavv mo. ago They interested in Anti-China system? are News ""Taiwan ne officially India ke D4 anti-drone system kharidne ki request ki hai:""",They are interested in Anti-China system? “Taiwan ne officially India ke D4 anti-drone system kharidne ki request ki hai.”,yes,
50,hmx-0191,"90-degree bridge ka bawaal: 7 engineers suspend, 2 companies blacklist₹18 crore mein bana tha yeh bridge.","29.JUN=.25 INDIAINLASTZAHR SUSPEUDED go-degree bridge ka bawaal: 7 engineers suspend, 2 companies blacklist ७१8 crore mein bana tha yeh bridge.","29JJUNE.25 INDIAINLAST2AHR SUSPE NDED 90-degree bridge ka bawaal: 7 engineers suspend, 2 companies blacklist X18 crore mein bana tha yeh bridge","90-degree bridge ka bawaal: 7 engineers suspend, 2 companies blacklist ₹18 crore mein bana tha yeh bridge.",yes,
51,hmx-0484,Bharat mein inko dar lagta hai...#DelhiRiots2022 #HindusUnderAttackInIndia#Jahangirpuri #HinduLivesMatters,नारत ऋणा |रिफसरननगत्तणा e२on 8 Briurat iriein Invo dar lagta falzaa QHES *DelniPlous2022 HincusUnderAttacklrilnala तन Jahang rpurl HinduLivesi latters mcD 0 शाट२ 7],Fletmi D6T r*aram 8004 B Bharat iein Inko dur Iugta hol_. Srgheo #DelniRlots2022 HindusUnder-ttacklnlndla FAkd] 'Jahangirpur HlnduLivesMatters CDA Tan_,Bharat mein inko dar lagta hai... #DelhiRiots2022 #HindusUnderAttackInIndia #Jahangirpuri #HinduLivesMatters,yes,
52,hmx-0368,"SC ne ‘Statue of Justice’ ki aankhon se patti hata ke apni aankhon par baandh li, Kejriwal ke “jeet gaye to jail nahi jaunga” wale comment ke baad. Supreme Court se June 2nd tak ki special bail milne ke baad, Arvind Kejriwal...","SC ne ' Statue of Justice ki aankhon se patti hata kar apni aankhon par baandh li, Kejriwal ke ""jeet gaye toh jail wapas nahi jaayenge"" wale bayan ke baad Fauxy, 18/05/2024 Supreme Court se ek anokhi aur udarta bhari bail milne ke baad jo 2 June tak ke liye hai, Arvind Kejriwal ne apne ek...","SC ne 'Statue of Justice' ki aankhon se patti hata kar apni aankhon par baandh Ii, Kejriwal ke ""jeet gaye toh jail wapas nahi jaayenge"" wale bayan ke baad Fauxy, 18/05/2024 Supreme Court se ek anokhi aur udarta bhari bail milne ke baad jo 2 June tak ke liye hai, Arvind Kejriwal ne apne ek _","SC ne ‘Statue of Justice’ ki aankhon se patti hata kar apni aankhon par baandh li, Kejriwal ke “jeet gaye toh jail wapas nahi jaayenge” wale bayan ke baad Fauxy, 18/05/2024 Supreme Court se ek anokhi aur udarta bhari bail milne ke baad jo 2 June tak ke liye hai, Arvind Kejriwal ne apne ek...",yes,
53,hmx-0519,Day 2 Audience Review on #Brahmastra it’s completely waste movie... #FLOP #FlopBrahmastra WORD OF MOUTH is very bad for #BrahmastraMovie Monday movie will die on box office. #Disaster loading #BrahmastraReview #BoycottBrahmastra #Brahmastra_ka_palita,"e००# 8 7 ""7@ लाध् lnctne lorominatln 8 यn TlLrH7 ea7n- Au2lehice Aeleou Dr IBrahmzstra 99 culm oleteil Wllistie Uuluw VDRL CF Tl-UTIL i५ .EIbsr lur NटrahmlestraliDuic UFLOP AFlaaErzhmlstra Tlaidz Ilovi ill die un dox Dfiice ADivaeter loading 99 ADreli mlistreRelg nBz at2rahr avtra ABreliInli! reIa callta CAKE .`4 260 909 0 77713 370010;%78 l-00ण""^0-.""0","8o0m B Eee chS Lude Ru""itan F Day Enrkonn: Auuiene# Reviem Dn #Brahmastta e cumpletey ""uste nove WORD OF MovTIIi: very Dar lor MBrahmnaxrMovie UFLOP #FlopGrahinastra Mandzy Idvi will di an bax ofh: e. ""Disaster loading 1 BrahmastroReview aBpvra# Brahmastra vBrahinistr % Faliea GAKE TRA 1 7 1 4o63u 3oc 6 Aect""aean",Day 2 Audience Review on #Brahmastra it’s completely waste movie... #FLOP #FlopBrahmastra WORD OF MOUTH is very bad for #BrahmastraMovie Monday movie will die on box office. #Disaster loading #BrahmastraReview #BoycottBrahmastra #Brahmastra_ka_palita,yes,
54,hmx-0346,"""PM MODI aur AQUAMAN ne haath milaye INDUS water ko PAKISTAN mein jaane se rokne ke liye.""","Il8 ""PM MODI aur AQUAMAN ne haath milaye INDUS water ko PAKISTAN mein jaane se rokne ke liye 0० JAL HAI TOH KAL HAl. PAR SIRF HAMARA!","IMB ""PM MODI aur AQUAMAN ne haath milaye INDUS water ko PAKISTAN mein jaane se rokne ke liye. MI JAL HAI TOH KAL HAI_ PAR SIRF HAMARAI","""PM MODI aur AQUAMAN ne haath milaye INDUS water ko PAKISTAN mein jaane se rokne ke liye."" JAL HAI TOH KAL HAI... PAR SIRF HAMARA!",yes,
55,hmx-0625,"iden ko to himmat hi nahi hui, sher se aankhen milane ki: ek bhadka hua bhakt","00% 3 rCr CHEc + GAKE Mukesh Garg १S hrs 0 Biden ko to himmat hi nahi hui sher se aankhen milane ki: ek bhadka hua bhakt""","0o0m B AcT ""GHECS FAKE Mukesh Garg 15 hrs 0 Biden ko to himmat hi nahi hui, sher se aankhen milane ki: ek bhadka hua bhakt""","Biden ko to himmat hi nahi hui, sher se aankhen milane ki: ek bhadka hua bhakt.",yes,
56,hmx-0297,"Zomato delivery partner road par besahara ro raha tha kyunki uska account block ho gaya tha. Uske paas apni behan ki shaadi ke liye bhi paise nahi the, khud ko paani nahi khila pa raha tha.","ब्रै E *R 2e0 carbon e0 plastic Zomato deliver/ partner road par besahara ro raha tha kyunki uska account block ho gaya tha Uske paas apni behan ki shaadi ke liye bhi paise nahi the, khud ko paani nahi khila pa raha tha. Tilu alva","8 E K zero carbon zero plastic Zomato delivery partner road par besahara ro raha tha kyunki uska account block ho gaya tha_ Uske paas apni behan ki shaadi ke liye bhi paise nahi the, khud ko paani nahi khila pa raha tha: Tlv alva","Zomato delivery partner road par besahara ro raha tha kyunki uska account block ho gaya tha. Uske paas apni behan ki shaadi ke liye bhi paise nahi the, khud ko paani nahi khila pa raha tha.",yes,
57,hmx-0344,"""COURAGE THE COWARDLY DOG ke ghar par NBC ne DR*G case mein raid ki, 5 ton ganja zabt kiya gaya.""","COURAGE THE COARDLY DOG ke ghar par NBC ne DR*G case mein raid ki, 5 ton ganja zabt kiya gaya. 00","'COURAGE THE COWARDLY DOG ke Ighar par NBC ne DR*G case mein raid ki, 5 ton ganja zabt kiya gaya: II","""COURAGE THE COWARDLY DOG ke ghar par NBC ne DR*G case mein raid ki, 5 ton ganja zabt kiya gaya.""",yes,
58,hmx-0652,"4 km lambi Rack train 4 engines ke saath, power plants ko coal supply karne ke liye war footing par chalayi ja rahi hai. Yeh hai #Modigovt aur @narendramodi ji ka #NewIndia!","Po%eh 00""""77 @*0 09-0 plants kD coal s-pply karna ka liye var tooting par tkm lambi Rack Erain eoginea kelsanth lpow e chalavi ja tani lai ten Wai @narendramadili Ka # NEvindial Ilodiqovtlaur opaOlndia ClRailMyilriula @CwulMinistry eulpaindin @BIPA Wlanarasntra DISLEIDIIO","Prakeeh Iataaa Cn plants ko coal supply kare ke liye war footing par km lambi Rack train engine: ke sath. powa chalayi ja rahi hai Yeh hai GnarendramodijI ka #Newlndlal Modigovt Jur @pvolina #RailMmkiula @CuulMiustry @UJPalrliu @B,P4Manaraantra ~ MISLEAdINg ]","4 km lambi Rack train 4 engines ke saath, power plants ko coal supply karne ke liye war footing par chalayi ja rahi hai. Yeh hai #Modigovt aur @narendramodi ji ka #NewIndia!",yes,
59,hmx-0339,"""VIJAY MALLYA ne SBI se 70,000 CR ROBUX ka loan liya Kingfisher Airlines ko Roblox mein re-buy karne ke liye.""","KINGFISI ""ZIJAY MALLIA ne SBI se ७०J००० CR ROBUX ka loan liya Kingfisher Airlines ko Roblox mein re-buy karne ke liye 0 AB ROBLOX MIEN IMAGE CLEAN KON KAREGA","KiNGeus ""VIJAY MALLYA ne SBI se 70,000 CR ROBUX ka loan liya Kingfisher Airlines ko Roblox mein re-buy karne ke liye: AB ROBLOX MIEN IMAGE CLEAN KON KAREGA","""VIJAY MALLYA ne SBI se 70,000 CR ROBUX ka loan liya Kingfisher Airlines ko Roblox mein re-buy karne ke liye."" AB ROBLOX MIEN IMAGE CLEAN KON KAREGA",yes,
60,hmx-0616,Ek vinamr anusmarak Jis din ek Adivasi mahila Bharat ki Rashtrapati banegi Us din desh mein aarakshan samapt kar dena chahiye. Dr. Bhimrao Ramji Ambedkar,२०e+ 2 7 [ा <-%0n1 Y८HEc* Ek vinamr anusmarak <+7=प r Jis din ek Adivasi mahila Bharat ki Ek vinamr anusmarak Rashtrapati banegi Us din desh mein aarakshan samapt kar Dr Bhimrao Ramji Ambedkar dena chahiye,"2094 B Lede Em Et Yas Ek vinamr anusmarak 173"" FKD Jis din ek Adivasi mahila Bharat ki Ek vinamr anusmarak Rashtrapati banegi Us din desh mein aarakshan samapt kar Dr Bhimrao Ramji Ambedkar dena chahiye",Ek vinamr anusmarak Jis din ek Adivasi mahila Bharat ki Rashtrapati banegi Us din desh mein aarakshan samapt kar dena chahiye. Dr. Bhimrao Ramji Ambedkar,yes,
61,hmx-0643,"Dekhiye BJP shasit Maharashtra ka haal. Har bag mein BJP ka poster, ek banner aur ek GOLD biscuit mila Nanded, Maharashtra mein. Modi aur Amit Shah ka yahi plan hai kya 400+ seat jeetne ka?","290 89%# 3 ऑEढ १cा cHEc+ %6180|9461 SUnil Gavaskar Un Stei Scoits: am dsiizitied LU Cell niye=ll Inulalia + Sl4n 5}0"" cli Jabzs Ltltaalr Ciittt Wuile UL0 tttl. ~00 Khaeli gtadiuiiis, QDi Scurebuard ttitl Jzi BCCI I Latiicit tiaiiag sitiene!* 200 G:!dctal ne kRuchi nahl chiliuda TAL= celnt tlciria 0l~103:8,2023*2301 FIE 631089 218 0|06: 9 300|8061710 0 2ल 890","d Goom B 4sG AcT ""GHEcY Juala lloncty { Sunil Gavaskar un Star Spoits: TTam astamed tu call myseI Indian_ 7, StAA Stv"" Yeh sabse Dekaar Crlcket WVurld Cup Ia. 2 Khaali stadlurs, Kol scurebuard Jan, aur BcCI ki patietic Matageent!"" 1. 7 Gavaskai ne kuch nahi chhuda 3aze Dolne rein _ Ki-Caij0 3 2301 FAKE { , Reoosta 218 Qucta 30o Bojanns 2 1 { 6 4","Sunil Gavaskar on Star Sports: ""I am ashamed to call myself Indian. Yeh sabse bekaar Cricket World Cup hai. Khaali stadiums, koi scoreboard nahi, aur BCCI ki pathetic management!"" Gavaskar ne kuch nahi chhoda bolne mein.",no,Metadata/image mismatch; image appears to contain hmx-0647 content (swapped pair).
62,hmx-0108,Delhi mein paani ke liye tanker pe jhagde ho rahe hain — heatwave aur water crisis se haalat kharab.,Delhi mein paani ke liye tanker pe jhagde ho rahe hain heatwa e aur vater crisis se haalat kharab.,Delhi mein paani ke liye tanker pe jhagde ho rahe hain heatwave aur water crisis se haalat kharab.,Delhi mein paani ke liye tanker pe jhagde ho rahe hain — heatwave aur water crisis se haalat kharab.,yes,
63,hmx-0245,"26 saal ki EY employee kaam ke stress ke kaaran marr gayi, uski maa ne boss ko ek dil tod dene waala email bheja. Is dukh bhari maut se log gusse mein hain, office se koi bhi uske funeral mein nahi aaya.","alva २६ saal Ki Eremployee kaam ke stress ke kaaran marr gayi, uski maa ne boss ko ek dil tod dene waala email bheja. Is dukh bhari maut se log gusse mein hain, office se koi bhi uske funeral mein nahi aaya. &्लै","Aa 26 saal ki EY employee kaam ke stress ke kaaran marr gayi, uski maa ne boss ko ek dil tod dene waala email bheja. Is dukh bhari maut se log gusse mein hain, office se koi bhi uske funeral mein nahi aaya. 1 8","26 saal ki EY employee kaam ke stress ke kaaran marr gayi, uski maa ne boss ko ek dil tod dene waala email bheja. Is dukh bhari maut se log gusse mein hain, office se koi bhi uske funeral mein nahi aaya.",yes,
64,hmx-0337,"""Fikr mat karo! 2047 tak humare paas flying cars hongi!""","MUMBAI IERI JAANBYIANJUL Fikr mat karo! २०४७ tak humare paas flying cars hongi!"" &्. OIIANUL @MIANJULtoons http /llinktr ee manjultoons","MUMBAI MERI JAAN BV MANJUL Fikr mat karo! 2047 tak humare paas flying cars hongi!"" 4. @MANUUL @MANJULtoons http / Hlinktr,ee/manjultoons","MUMBAI MERI JAAN BY MANJUL ""Fikr mat karo! 2047 tak humare paas flying cars hongi!""",yes,
65,hmx-0092,America se kuch zyada seekh rahe hain? Bihar mein 5 saal ka bachcha school mein bandook le gaya aur classmates par goli chala di,श्रै * America se uch zyada seem rahe hain? Bihar mein 5 saal ka bachcha school mein ~alVil,8 1 America se kuch zyada seekh Irahe hain? Bihar mein 5 saal ka bachcha school mein Talta,America se kuch zyada seekh rahe hain? Bihar mein 5 saal ka bachcha school mein,yes,Source image/caption is visibly truncated; gold transcription follows only the visible claim-bearing text.
66,hmx-0543,"Aapka COVID-19 infection ka risk kam karne ke liye:STAY HOME, STAY SAFE #stayhome #staysafe Covid Medicine list (Hospital me milti hai):Paracetamol, Betadine for mouthwash and gargle, Vitamin C and D tablets, B Complex, Zincovit capsules for steam, Oximeter (oxygen level check karne ke liye), Oxygen cylinder for emergency use, ORS (rehydration ke liye) Note: Yeh list fake hai – sahi treatment ke liye hamesha doctor se consult karein.","*01""04229 Faurd CDUID Lo Intechun %a 4I0-19 OEi Dam coroo wo llo 1100 Oml STAY HON= STAY SAFE 6caplicua <[3=314 Cuwd Madleina lrat ( Hu Pital oatik Ooill: Gगाecolanio Batadina ter moLtndasn lana 62(|009 Vcamin CanaD tauler ghr pe rahiye 0 Cone ex Ziacuult cautulet IcT Etoam surakshit rahiye Damater (orvdon lote chod caina k० Inol Oavoon Elindor Ior Cerrewग नषगरय- e%uo0-7 =%0","roulllo Kaplx COVID 19 infecbon k JID-19 VkRn 'rna I IioN Mm STaY Hove Stay S4FE ftLnr ccanate Cuva Mudicine Itt (Hujpital N MiEi nail: Faricolini Betadine Icr moutrduih Jnd Qfule Veamin C jrjdeoulats ghr pe rahiye 8 Cenoex Ziovi cauiule: Icr Steam surakshit rahiye Oumater (@eyqan |ete]chack Romeku 1r9) Oryqan Calinder fur ""tettom: #ulret- anqunci@u","Aapka COVID-19 infection ka risk kam karne ke liye: STAY HOME, STAY SAFE #stayhome #staysafe Covid Medicine list (Hospital me milti hai): Paracetamol Betadine for mouthwash and gargle Vitamin C and D tablets B Complex Zincovit capsules for steam Oximeter (oxygen level check karne ke liye) Oxygen cylinder for emergency use ghr pe rahiye surakshit rahiye",yes,
67,hmx-0416,"Ab usse dhakka mukki karoge to wo to pel hi dega na. Marshal art @RahulGandhi ne sirf photo khinchane ke liye thodi na seekha hai, #Raga_ne_pel_diya","ANIL @anilracaumediai Dec 1९, 20२4 Lb usse dhakka muRRI Raroge to ""ID to pelIhi dega Ina Marshal art @RahulGandhi ne sirf photo khinchane ke liye thodi na seekha hai, Raga ne pel_diya","ANIL @AnilYadavmedial Dec 19,2024 4b usse dhharka mukki Karoge t0 Wo to pelhidcga na Marshal art @RahulGandhi ne sirf photo khinchane ke liye thodi Ina seekha hai; tRaga_ne_pel_diya","Ab usse dhakka mukki karoge to wo to pel hi dega na. Marshal art @RahulGandhi ne sirf photo khinchane ke liye thodi na seekha hai, #Raga_ne_pel_diya",yes,
68,hmx-0536,The national tricolor was removed and replaced with a saffron flag.,"000n 8 CHEET Rondev 0 Beef Oaal Blmanlttalaa Pak oalllachamnalhlbdemal TT 7 Biryani + GAKE फ-त0- 700 PATANIAI | "" """,6o04 B ChEOT Ramdev Beef Ueot Blnanltelay Patinbubchnhlhtemtl art 7 Biryani 7 GAKE Ecmms Eena TATANIAIL 1 1 5,Ramdev Beef Biryani Beef Biryani ko laya Patanjali ka chawal hi istemal karen,no,Metadata/image mismatch; image content is unrelated to the associated reference claim.
